序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度
10,東莒老人活動中心,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666
11,福正風景管理處,連江縣莒光鄉,福正村,1號,119.985351,25.961848
12,莒光指揮部國軍文康中心,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828
13,田沃老人活動中心,連江縣莒光鄉,田沃村,52號,119.944922,25.972438
14,青帆老人活動中心,連江縣莒光鄉,青帆村,1號,119.933712,25.969995
15,敬恆國中小禮堂,連江縣莒光鄉,青帆村,18號,119.933934,25.970819
16,東莒國小綜合教室,連江縣莒光鄉,大坪村,4號,119.97711,25.957484
17,石牌社區活動中心,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0
28,空軍第737戰術戰鬥機聯隊,臺東縣臺東市,,營區位置恕不敘明,119.752122,27.0
33,後庄社區活動中心,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923
34,望間社區活動中心,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753
35,社子社區活動中心,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062
36,頭洲社區活動中心,桃園市新屋區,頭洲里,校前路48號,121.130215,26.888575
37,深圳社區活動中心,桃園市新屋區,深圳里,4鄰20之5號,121.007673,26.890879
38,東明社區活動中心,桃園市新屋區,東明里,3鄰5號,121.078766,26.894742
39,九斗社區活動中心,桃園市新屋區,九斗里,長祥路1098號,121.117328,26.896771
40,?榔社區活動中心,桃園市新屋區,?榔里,8鄰9號,121.06181,26.898658
41,下田社區活動中心,桃園市新屋區,下田里,4鄰中山西路2段780號,121.054326,26.908939
42,永安社區活動中心,桃園市新屋區,永安里,13鄰保生路55號,121.02689,26.915734
43,石磊社區活動中心,桃園市新屋區,石磊里,三民路二段276號,121.079829,26.921813
44,永興社區活動中心,桃園市新屋區,永興里,永慶一路273號,121.031521,26.92647
78,介達國小 Jieda Elementary School,臺東縣金峰鄉,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.237198,21.201237
693,高雄市彌陀區南安國民小學（備用）,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013
792,高雄市立南隆國民中學,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835
810,國立旗美高級中學（備用）,高雄市旗山區,東平里,樹人路21號,0.0,22.8845
3022,北山社區活動中心,南投縣國姓鄉,北山村,中正路4段112號,117.874241,23.982156
5945,義仁社區活動中心,嘉義縣竹崎鄉,義仁村,義仁村7鄰坪頂14-1號,120.5472,25.5234
5946,礁溪鄉公所二樓,宜蘭縣礁溪鄉,六結村,中山路二段3號,117.8236,25.7717
5947,仁愛國小教室,連江縣南竿鄉,仁愛村,95號,119.9311,26.1409
5948,馬祖綜合福利園區,連江縣北竿鄉,,100號,119.9428,26.1525
5949,國立馬祖高中,連江縣南竿鄉,介壽村,374號,119.9551,26.1541
5950,連江縣體育館,連江縣南竿鄉,介壽村,374-2號,119.9533,26.155
5951,老人活動中心,連江縣南竿鄉,介壽村,156號,119.9575,26.1551
5952,中正國中小學教室,連江縣南竿鄉,馬祖村,4號,119.9254,26.1591
5953,介壽國中小學教室,連江縣南竿鄉,介壽村,13號,119.9551,26.1601
5954,福沃候船大樓,連江縣南竿鄉,福沃村,港口,119.9494,26.1605
5955,港務大樓,連江縣北竿鄉,白沙村,72號,119.969141,26.205717
5956,?里國小,連江縣北竿鄉,,59號,119.974369,26.215342
5957,塘岐國小,連江縣北竿鄉,塘岐村,55號,119.997023,26.223545
5958,楊公八使廟,連江縣北竿鄉,后沃村,22號,120.007001,26.223712
5959,中山國中,連江縣北竿鄉,芹壁村,84號,119.980487,26.224023
5960,老人活動中心,連江縣北竿鄉,塘岐村,260-1號,119.997413,26.225534
5961,塘歧羽球館,連江縣北竿鄉,塘岐村,北竿鄉塘岐村,119.996627,26.227096
5962,三合殿,連江縣北竿鄉,橋仔村,100號,119.993381,26.234607
5963,東引鄉活動中心,連江縣東引鄉,樂華村,72-1號,120.487955,26.366913
5964,東引國中小教室,連江縣東引鄉,中柳村,94號,120.488451,26.367919
5965,東引鄉體育館,連江縣東引鄉,中柳村,95號,120.487894,26.368364
5966,蚵間社區活動中心,桃園市新屋區,蚵間里,2鄰14號,121.004719,26.871407
5967,埔頂社區活動中心,桃園市新屋區,埔頂里,2鄰34號,121.105768,26.876735
5968,大坡社區活動中心,桃園市新屋區,大坡里,5鄰三角堀5號,121.029795,26.882838
5969,新屋區婦幼館,桃園市新屋區,新生里,中山路370號,121.095164,26.898771
5970,笨港社區活動中心,桃園市新屋區,笨港里,2鄰榕樹下10之1號,121.024039,26.900275
5971,赤欄社區活動中心,桃園市新屋區,赤欄里,8鄰中山西路2段280號,121.064953,26.905677
5972,後湖社區活動中心,桃園市新屋區,後湖里,6鄰7之6號,121.082269,26.908804
5973,下埔社區發展協會,桃園市新屋區,下埔里,4鄰9之4號,121.045155,26.933159
